date,time_slot,lt
2024-01-01,00-04,3.44
2024-01-01,04-08,2.13
2024-01-01,08-12,4.18
2024-01-01,12-16,7.71
2024-01-01,16-20,4.82
2024-01-01,20-24,3.16
2024-01-02,00-04,1.22
2024-01-02,04-08,1.88
2024-01-02,08-12,3.56
2024-01-02,12-16,6.26
2024-01-02,16-20,7.14
2024-01-02,20-24,6.69
2024-01-03,00-04,8.32
2024-01-03,04-08,8.46
2024-01-03,08-12,7.61
2024-01-03,12-16,12.07
2024-01-03,16-20,7.3
2024-01-03,20-24,8.46
2024-01-04,00-04,9.45
2024-01-04,04-08,9.29
2024-01-04,08-12,9.24
2024-01-04,12-16,9.75
2024-01-04,16-20,8.36
2024-01-07,04-08,0.12
2024-01-07,08-12,0.25
2024-01-07,12-16,0.26
2024-01-07,16-20,-0.3
2024-01-07,20-24,-1.64
2024-01-08,00-04,-3.27
2024-01-08,04-08,-4.07
2024-01-08,08-12,-3.52
2024-01-08,12-16,-2.83
2024-01-08,16-20,-3.7
2024-01-08,20-24,-4.22
2024-01-09,00-04,-5.33
2024-01-09,04-08,-5.84
2024-01-09,08-12,-6.02
2024-01-09,12-16,-5.64
2024-01-09,16-20,-5.66
2024-01-09,20-24,-6.12
2024-01-10,00-04,-6.3
2024-01-10,04-08,-6.64
2024-01-10,08-12,-5.96
2024-01-10,12-16,-4.03
2024-01-10,16-20,-4.24
2024-01-10,20-24,-4.73
2024-01-11,00-04,-4.79
2024-01-11,04-08,-5.63
2024-01-11,08-12,-5.33
2024-01-11,12-16,-4.41
2024-01-11,16-20,-4.64
2024-01-11,20-24,-5.25
2024-01-12,00-04,-5.81
2024-01-12,04-08,-6.5
2024-01-12,08-12,-4.59
2024-01-12,12-16,-2.0
2024-01-12,16-20,-2.75
2024-01-12,20-24,-2.93
2024-01-13,00-04,-3.33
2024-01-13,04-08,-4.72
2024-01-13,08-12,-5.84
2024-01-13,12-16,-1.7
2024-01-13,16-20,-3.81
2024-01-13,20-24,-4.67
2024-01-14,00-04,-5.37
2024-01-14,04-08,-7.04
2024-01-14,08-12,-5.38
2024-01-14,12-16,-2.1
2024-01-14,16-20,-4.67
2024-01-14,20-24,-6.83
2024-01-15,00-04,-3.12
2024-01-15,04-08,-0.8
2024-01-15,08-12,-0.93
2024-01-15,12-16,0.11
2024-01-15,16-20,0.58
2024-01-15,20-24,-1.27
2024-01-16,00-04,-2.82
2024-01-16,04-08,-5.05
2024-01-16,08-12,-2.59
2024-01-16,12-16,0.15
2024-01-16,16-20,-2.4
2024-01-16,20-24,-6.98
2024-01-17,00-04,-6.13
2024-01-17,04-08,-3.32
2024-01-17,08-12,-0.57
2024-01-17,12-16,1.54
2024-01-17,16-20,3.02
2024-01-17,20-24,2.18
2024-01-18,00-04,3.4
2024-01-18,04-08,5.01
2024-01-18,08-12,5.85
2024-01-18,12-16,6.82
2024-01-18,16-20,3.28
2024-01-18,20-24,-0.45
2024-01-19,00-04,-1.6
2024-01-19,04-08,-2.47
2024-01-19,08-12,-1.79
2024-01-19,12-16,-0.76
2024-01-19,16-20,-2.96
2024-01-19,20-24,-6.39
2024-01-20,00-04,-8.4
2024-01-20,04-08,-10.15
2024-01-20,08-12,-6.2
2024-01-20,12-16,-0.95
2024-01-20,16-20,-2.64
2024-01-20,20-24,-5.76
2024-01-21,00-04,-5.13
2024-01-21,04-08,-9.99
2024-01-21,08-12,-4.3
2024-01-21,12-16,2.38
2024-01-21,16-20,-0.02
2024-01-21,20-24,1.12
2024-01-22,00-04,-2.9
2024-01-22,04-08,-3.35
2024-01-22,08-12,0.43
2024-01-22,12-16,5.0
2024-01-22,16-20,5.89
2024-01-22,20-24,5.85
2024-01-23,00-04,6.62
2024-01-23,04-08,5.68
2024-01-23,08-12,4.3
2024-01-23,12-16,5.58
2024-01-23,16-20,5.15
2024-01-23,20-24,4.16
2024-01-24,00-04,5.19
2024-01-24,04-08,6.85
2024-01-24,08-12,11.03
2024-01-24,12-16,15.6
2024-01-24,16-20,12.58
2024-01-24,20-24,8.21
2024-01-25,00-04,7.47
2024-01-25,04-08,6.53
2024-01-25,08-12,7.07
2024-01-25,12-16,9.55
2024-01-25,16-20,7.05
2024-01-25,20-24,6.52
2024-01-26,00-04,6.46
2024-01-26,04-08,7.2
2024-01-26,08-12,8.52
2024-01-26,12-16,11.03
2024-01-26,16-20,9.07
2024-01-26,20-24,7.18
2024-01-27,00-04,4.63
2024-01-27,04-08,3.89
2024-01-27,08-12,3.86
2024-01-27,12-16,6.8
2024-01-27,16-20,2.77
2024-01-27,20-24,-1.31
2024-01-28,00-04,-1.87
2024-01-28,04-08,-1.37
2024-01-28,08-12,3.03
2024-01-28,12-16,8.25
2024-01-28,16-20,6.11
2024-01-28,20-24,-0.55
2024-01-29,00-04,-2.28
2024-01-29,04-08,-3.64
2024-01-29,08-12,2.49
2024-01-29,12-16,9.88
2024-01-29,16-20,5.04
2024-01-29,20-24,-1.56
2024-01-30,00-04,-2.76
2024-01-30,04-08,-3.51
2024-01-30,08-12,2.87
2024-01-30,12-16,11.27
2024-01-30,16-20,6.51
2024-01-30,20-24,1.54
2024-01-31,00-04,1.57
2024-01-31,04-08,1.58
2024-01-31,08-12,4.7
2024-01-31,12-16,10.14
2024-01-31,16-20,6.22
2024-01-31,20-24,2.16
2024-02-01,00-04,2.2
2024-02-01,04-08,6.6
2024-02-01,08-12,7.02
2024-02-01,12-16,6.69
2024-02-01,16-20,6.83
2024-02-01,20-24,5.77
2024-02-02,00-04,4.69
2024-02-02,04-08,4.24
2024-02-02,08-12,6.07
2024-02-02,12-16,7.22
2024-02-02,16-20,7.26
2024-02-02,20-24,6.86
2024-02-03,00-04,6.68
2024-02-03,04-08,4.74
2024-02-03,08-12,9.71
2024-02-03,12-16,15.08
2024-02-03,16-20,11.03
2024-02-03,20-24,3.23
2024-02-04,00-04,1.52
2024-02-04,04-08,3.87
2024-02-04,08-12,6.11
2024-02-04,12-16,12.86
2024-02-04,16-20,13.2
2024-02-04,20-24,12.28
2024-02-05,00-04,10.51
2024-02-05,04-08,7.06
2024-02-05,08-12,8.73
2024-02-05,12-16,15.92
2024-02-05,16-20,12.75
2024-02-05,20-24,5.24
2024-02-06,00-04,5.41
2024-02-06,04-08,6.15
2024-02-06,08-12,8.33
2024-02-06,12-16,10.0
2024-02-06,16-20,5.92
2024-02-06,20-24,2.76
2024-02-07,00-04,5.84
2024-02-07,04-08,4.61
2024-02-07,08-12,9.28
2024-02-07,12-16,11.75
2024-02-07,16-20,10.81
2024-02-07,20-24,7.38
2024-02-08,00-04,5.28
2024-02-08,04-08,6.54
2024-02-08,08-12,9.13
2024-02-08,12-16,12.78
2024-02-09,16-20,10.99
2024-02-10,00-04,3.83
2024-02-10,04-08,3.14
2024-02-10,08-12,5.65
2024-02-10,12-16,9.88
2024-02-10,16-20,12.28
2024-02-10,20-24,10.85
2024-02-11,00-04,8.15
2024-02-11,04-08,7.83
2024-02-11,08-12,6.24
2024-02-11,12-16,8.15
2024-02-11,16-20,7.35
2024-02-11,20-24,6.93
2024-02-12,00-04,5.47
2024-02-12,04-08,5.34
2024-02-12,08-12,7.79
2024-02-12,12-16,8.38
2024-02-12,16-20,5.26
2024-02-12,20-24,4.46
2024-02-13,00-04,4.41
2024-02-13,04-08,4.18
2024-02-13,08-12,6.4
2024-02-13,12-16,9.31
2024-02-13,16-20,5.86
2024-02-13,20-24,1.25
2024-02-14,00-04,0.04
2024-02-14,04-08,2.7
2024-02-14,08-12,5.14
2024-02-14,12-16,9.24
2024-02-14,16-20,9.55
2024-02-14,20-24,8.22
2024-02-15,00-04,8.13
2024-02-15,04-08,7.36
2024-02-15,08-12,9.5
2024-02-15,12-16,14.36
2024-02-15,16-20,11.16
2024-02-15,20-24,4.47
2024-02-16,00-04,1.85
2024-02-16,04-08,0.49
2024-02-16,08-12,8.57
2024-02-16,12-16,16.82
2024-02-16,16-20,13.7
2024-02-16,20-24,10.25
2024-02-17,00-04,8.65
2024-02-17,04-08,8.36
2024-02-17,08-12,9.42
2024-02-17,12-16,9.52
2024-02-17,16-20,8.49
2024-02-17,20-24,7.68
2024-02-18,00-04,6.83
2024-02-18,04-08,4.58
2024-02-18,08-12,6.19
2024-02-18,12-16,11.12
2024-02-18,16-20,9.66
2024-02-18,20-24,8.59
2024-02-19,00-04,7.94
2024-02-19,04-08,7.27
2024-02-19,08-12,7.82
2024-02-19,12-16,9.0
2024-02-19,16-20,7.73
2024-02-19,20-24,6.67
2024-02-20,00-04,5.96
2024-02-20,04-08,5.26
2024-02-20,08-12,5.83
2024-02-20,12-16,7.01
2024-02-20,16-20,5.69
2024-02-20,20-24,1.53
2024-02-21,00-04,2.36
2024-02-21,04-08,3.25
2024-02-21,08-12,5.74
2024-02-21,12-16,11.36
2024-02-21,16-20,8.9
2024-02-21,20-24,7.37
2024-02-22,00-04,7.01
2024-02-22,04-08,6.67
2024-02-22,08-12,8.74
2024-02-22,12-16,12.77
2024-02-22,16-20,11.48
2024-02-22,20-24,8.91
2024-02-23,00-04,6.86
2024-02-23,04-08,5.63
2024-02-23,08-12,3.34
2024-02-23,12-16,2.33
2024-02-23,16-20,1.77
2024-02-23,20-24,1.9
2024-02-24,00-04,1.75
2024-02-24,04-08,1.63
2024-02-24,08-12,4.75
2024-02-24,12-16,8.68
2024-02-24,16-20,5.58
2024-02-24,20-24,1.54
2024-02-25,00-04,0.62
2024-02-25,04-08,1.34
2024-02-25,08-12,3.86
2024-02-25,12-16,8.55
2024-02-25,16-20,6.59
2024-02-25,20-24,5.69
2024-02-26,00-04,1.43
2024-02-26,04-08,-1.33
2024-02-26,08-12,4.95
2024-02-26,12-16,12.08
2024-02-26,16-20,9.9
2024-02-26,20-24,5.0
2024-02-27,00-04,2.93
2024-02-27,04-08,2.85
2024-02-27,08-12,4.95
2024-02-27,12-16,6.51
2024-02-27,16-20,5.58
2024-02-27,20-24,3.44
2024-02-28,00-04,1.34
2024-02-28,04-08,2.7
2024-03-03,12-16,16.56
2024-03-03,16-20,14.32
2024-03-03,20-24,11.34
2024-03-04,00-04,3.5
2024-03-04,04-08,1.95
2024-03-04,08-12,8.96
2024-03-04,12-16,11.18
2024-03-04,16-20,10.39
2024-03-05,16-20,7.92
2024-03-05,20-24,5.85
2024-03-06,00-04,3.75
2024-03-06,04-08,3.38
2024-03-06,08-12,3.7
2024-03-06,12-16,4.18
2024-03-14,08-12,12.42
2024-03-14,12-16,15.28
2024-03-14,16-20,13.73
2024-03-14,20-24,7.23
2024-03-15,00-04,5.06
2024-03-15,04-08,7.92
2024-03-15,08-12,12.54
2024-03-15,12-16,15.04
2024-03-15,16-20,13.6
2024-03-15,20-24,10.27
2024-03-16,00-04,9.97
2024-03-16,04-08,8.65
2024-03-16,08-12,12.75
2024-03-16,12-16,14.09
2024-03-16,16-20,8.83
2024-03-16,20-24,8.81
2024-03-17,00-04,7.23
2024-03-17,04-08,6.55
2024-03-17,08-12,10.29
2024-03-17,12-16,13.9
2024-03-17,16-20,12.58
2024-03-17,20-24,8.87
2024-03-18,00-04,8.34
2024-03-18,04-08,8.53
2024-03-18,08-12,10.13
2024-03-18,12-16,10.98
2024-03-18,16-20,8.91
2024-03-18,20-24,7.62
2024-03-19,00-04,7.52
2024-03-19,04-08,7.08
2024-03-19,08-12,10.78
2024-03-19,12-16,13.65
2024-03-19,16-20,11.78
2024-03-19,20-24,5.6
2024-03-20,00-04,1.79
2024-03-20,04-08,1.1
2024-03-20,08-12,10.35
2024-03-20,12-16,16.31
2024-03-20,16-20,14.28
2024-03-20,20-24,6.79
2024-03-21,00-04,3.52
2024-03-21,04-08,5.25
2024-03-21,08-12,12.72
2024-03-21,12-16,10.43
2024-03-21,16-20,8.66
2024-03-21,20-24,7.5
2024-03-22,00-04,6.64
2024-03-22,04-08,6.78
2024-03-22,08-12,11.96
2024-03-22,12-16,16.75
2024-03-22,16-20,15.04
2024-03-22,20-24,11.05
2024-03-23,00-04,9.97
2024-03-23,04-08,9.81
2024-03-23,08-12,11.56
2024-03-23,12-16,6.27
2024-03-23,16-20,3.27
2024-03-23,20-24,1.88
2024-03-24,00-04,1.54
2024-03-24,04-08,1.9
2024-03-24,08-12,4.07
2024-03-24,12-16,6.0
2024-03-24,16-20,5.95
2024-03-24,20-24,4.66
2024-03-25,00-04,5.02
2024-03-25,04-08,4.5
2024-03-25,08-12,7.95
2024-03-25,12-16,10.7
2024-03-25,16-20,9.07
2024-03-25,20-24,2.87
2024-03-26,00-04,-1.29
2024-03-26,04-08,-1.36
2024-03-26,08-12,6.86
2024-03-26,12-16,15.07
2024-03-26,16-20,14.57
2024-03-26,20-24,14.61
2024-03-27,00-04,9.25
2024-03-27,04-08,9.99
2024-03-27,08-12,14.99
2024-03-27,12-16,21.0
2024-03-27,16-20,11.56
2024-03-27,20-24,4.89
2024-03-28,00-04,3.23
2024-03-28,04-08,2.8
2024-03-28,08-12,10.15
2024-03-28,12-16,7.08
2024-03-28,16-20,5.96
2024-03-28,20-24,5.22
2024-03-29,00-04,4.96
2024-03-29,04-08,5.44
2024-03-29,08-12,12.26
2024-03-29,12-16,21.21
2024-03-29,16-20,20.26
2024-03-29,20-24,19.6
2024-03-30,00-04,18.74
2024-03-30,04-08,15.18
2024-03-30,08-12,19.2
2024-03-30,12-16,21.91
2024-03-30,16-20,19.2
2024-03-30,20-24,13.75
2024-03-31,00-04,11.04
2024-03-31,04-08,9.59
2024-03-31,08-12,10.85
2024-03-31,12-16,19.03
2024-03-31,16-20,19.93
2024-03-31,20-24,17.5
2024-04-01,00-04,12.35
2024-04-01,04-08,9.67
2024-04-01,08-12,15.17
2024-04-01,12-16,8.6
2024-04-01,16-20,9.63
2024-04-01,20-24,7.6
2024-04-02,00-04,8.32
2024-04-02,04-08,8.82
2024-04-02,08-12,10.26
2024-04-02,12-16,13.56
2024-04-02,16-20,13.58
2024-04-02,20-24,7.6
2024-04-03,00-04,5.32
2024-04-03,04-08,5.84
2024-04-03,08-12,7.8
2024-04-03,12-16,13.31
2024-04-03,16-20,12.5
2024-04-03,20-24,8.86
2024-04-04,00-04,9.52
2024-04-04,04-08,9.71
2024-04-04,08-12,13.48
2024-04-04,12-16,17.66
2024-04-04,16-20,16.35
2024-04-04,20-24,13.09
2024-04-05,00-04,10.53
2024-04-05,04-08,11.28
2024-04-05,08-12,15.23
2024-04-05,12-16,21.54
2024-04-05,16-20,22.76
2024-04-05,20-24,18.16
2024-04-06,00-04,17.24
2024-04-06,04-08,16.11
2024-04-06,08-12,18.27
2024-04-06,12-16,24.58
2024-04-06,16-20,25.17
2024-04-06,20-24,15.58
2024-04-07,00-04,9.96
2024-04-07,04-08,9.17
2024-04-07,08-12,18.5
2024-04-07,12-16,26.36
2024-04-07,16-20,25.1
2024-04-07,20-24,16.27
2024-04-08,00-04,14.41
2024-04-08,04-08,15.45
2024-04-08,08-12,19.23
2024-04-08,12-16,27.45
2024-04-08,16-20,28.11
2024-04-08,20-24,23.15
2024-04-09,00-04,20.4
2024-04-09,04-08,20.07
2024-04-09,08-12,21.18
2024-04-09,12-16,20.51
2024-04-09,16-20,11.52
2024-04-09,20-24,6.84
2024-04-10,00-04,5.2
2024-04-10,04-08,5.03
2024-04-10,08-12,5.81
2024-04-10,12-16,9.7
2024-04-10,16-20,10.6
2024-04-10,20-24,6.87
2024-04-11,00-04,4.7
2024-04-11,04-08,3.03
2024-04-11,08-12,9.07
2024-04-11,12-16,13.85
2024-04-11,16-20,14.94
2024-04-11,20-24,8.79
2024-04-12,00-04,5.05
2024-04-12,04-08,3.74
2024-04-12,08-12,12.0
2024-04-12,12-16,18.63
2024-04-12,16-20,19.87
2024-04-12,20-24,12.68
2024-04-13,00-04,8.65
2024-04-13,04-08,6.67
2024-04-13,08-12,16.35
2024-04-13,12-16,22.68
2024-04-13,16-20,23.77
2024-04-13,20-24,15.66
2024-04-14,00-04,11.42
2024-04-14,04-08,11.14
2024-04-14,08-12,19.71
2024-04-14,12-16,26.14
2024-04-14,16-20,25.88
2024-04-14,20-24,17.17
2024-04-15,00-04,13.62
2024-04-15,04-08,15.54
2024-04-15,08-12,14.93
2024-04-15,12-16,14.21
2024-04-15,16-20,16.73
2024-04-15,20-24,15.22
2024-04-16,00-04,9.0
2024-04-16,04-08,4.42
2024-04-16,08-12,6.07
2024-04-16,12-16,10.98
2024-04-16,16-20,10.79
2024-04-16,20-24,8.7
2024-04-17,00-04,6.58
2024-04-17,04-08,5.33
2024-04-17,08-12,3.05
2024-04-17,12-16,5.85
2024-04-17,16-20,3.23
2024-04-17,20-24,3.01
2024-04-18,00-04,2.79
2024-04-18,04-08,2.65
2024-04-18,08-12,3.7
2024-04-18,12-16,5.4
2024-04-18,16-20,4.62
2024-04-18,20-24,1.72
2024-04-19,00-04,1.77
2024-04-19,04-08,2.52
2024-04-19,08-12,5.85
2024-04-19,12-16,8.41
2024-04-19,16-20,5.03
2024-04-19,20-24,5.19
2024-04-20,00-04,4.36
2024-04-20,04-08,3.38
2024-04-20,08-12,3.93
2024-04-20,12-16,5.19
2024-04-20,16-20,4.38
2024-04-20,20-24,1.73
2024-04-21,00-04,0.37
2024-04-21,04-08,1.06
2024-04-21,08-12,4.6
2024-04-21,12-16,5.12
2024-04-21,16-20,4.08
2024-04-21,20-24,2.13
2024-04-22,00-04,1.73
2024-04-22,04-08,1.58
2024-04-22,08-12,3.06
2024-04-22,12-16,5.87
2024-04-22,16-20,5.93
2024-04-22,20-24,3.49
2024-04-23,00-04,2.13
2024-04-23,04-08,2.01
2024-04-23,08-12,2.24
2024-04-23,12-16,3.32
2024-04-23,16-20,3.53
2024-04-23,20-24,2.2
2024-04-24,00-04,1.85
2024-04-24,04-08,1.8
2024-04-24,08-12,4.3
2024-04-24,12-16,6.38
2024-04-24,16-20,5.02
2024-04-24,20-24,2.28
2024-04-25,00-04,2.1
2024-04-25,04-08,2.1
2024-04-25,08-12,4.95
2024-04-25,12-16,7.93
2024-04-25,16-20,9.18
2024-04-25,20-24,3.72
2024-04-26,00-04,0.14
2024-04-26,04-08,1.79
2024-04-26,08-12,9.3
2024-04-26,12-16,15.98
2024-04-26,16-20,16.51
2024-04-26,20-24,9.97
2024-04-27,00-04,5.89
2024-04-27,04-08,2.44
2024-04-27,08-12,13.79
2024-04-27,12-16,19.74
2024-04-27,16-20,19.53
2024-04-27,20-24,15.9
2024-04-28,00-04,12.45
2024-04-28,04-08,14.28
2024-04-28,08-12,19.87
2024-04-28,12-16,24.34
2024-04-28,16-20,22.21
2024-04-28,20-24,16.61
2024-04-29,00-04,11.55
2024-04-29,04-08,8.83
2024-04-29,08-12,15.04
2024-04-29,12-16,20.96
2024-04-29,16-20,22.28
2024-04-29,20-24,16.45
2024-04-30,00-04,14.46
2024-04-30,04-08,14.74
2024-04-30,08-12,21.32
2024-04-30,12-16,26.36
2024-04-30,16-20,26.32
2024-04-30,20-24,21.06
2024-05-01,00-04,18.71
2024-05-01,04-08,12.95
2024-05-01,08-12,18.62
2024-05-01,12-16,24.62
2024-05-01,16-20,24.82
2024-05-01,20-24,20.41
2024-05-02,00-04,18.17
2024-05-02,04-08,15.85
2024-05-02,08-12,18.74
2024-05-02,12-16,21.94
2024-05-02,16-20,22.88
2024-05-02,20-24,15.41
2024-05-03,00-04,12.33
2024-05-03,04-08,11.37
2024-05-03,08-12,11.54
2024-05-03,12-16,12.11
2024-05-03,16-20,10.62
2024-05-03,20-24,8.91
2024-05-04,00-04,8.1
2024-05-04,04-08,6.89
2024-05-04,08-12,11.69
2024-05-04,12-16,16.4
2024-05-04,16-20,18.5
2024-05-04,20-24,13.13
2024-05-05,00-04,8.89
2024-05-05,04-08,7.77
2024-05-05,08-12,16.72
2024-05-05,12-16,19.51
2024-05-05,16-20,20.61
2024-05-05,20-24,15.64
2024-05-06,00-04,10.54
2024-05-06,04-08,8.89
2024-05-06,08-12,16.35
2024-05-06,12-16,21.83
2024-05-06,16-20,16.05
2024-05-06,20-24,12.69
2024-05-07,00-04,11.92
2024-05-07,04-08,11.56
2024-05-07,08-12,13.57
2024-05-07,12-16,16.02
2024-05-07,16-20,15.72
2024-05-07,20-24,12.65
2024-05-08,00-04,11.65
2024-05-08,04-08,10.66
2024-05-08,08-12,10.6
2024-05-08,12-16,11.36
2024-05-08,16-20,11.28
2024-05-08,20-24,10.44
2024-05-09,00-04,9.86
2024-05-09,04-08,9.95
2024-05-09,08-12,11.65
2024-05-09,12-16,15.79
2024-05-09,16-20,16.58
2024-05-09,20-24,12.13
2024-05-10,00-04,7.44
2024-05-10,04-08,5.79
2024-05-10,08-12,14.26
2024-05-10,12-16,18.92
2024-05-10,16-20,19.31
2024-05-10,20-24,12.75
2024-05-11,00-04,7.15
2024-05-11,04-08,5.6
2024-05-11,08-12,15.04
2024-05-11,12-16,20.75
2024-05-11,16-20,21.0
2024-05-11,20-24,13.8
2024-05-12,00-04,7.99
2024-05-12,04-08,6.53
2024-05-12,08-12,16.04
2024-05-12,12-16,21.77
2024-05-12,16-20,22.49
2024-05-12,20-24,16.43
2024-05-13,00-04,10.22
2024-05-13,04-08,9.82
2024-05-13,08-12,18.12
